Function,R2 Score,R2 Score KAN,KAN time,Symbolic time,Adam time
I.12.1,,0.9935404062271118,0.741010700003244,,
I.12.4,,0.6325733661651611,10.673281199997291,,
I.12.5,,0.9935418367385864,0.3579471999546513,,
I.14.3,,0.9919791221618652,0.8715160000137985,,
I.14.4,,0.9840604066848755,8.498043700004928,,
I.18.12,,0.9631708264350891,16.91044449992478,,
I.25.13,,0.9968024492263794,0.17988900002092123,,
I.26.2,,0.995012640953064,0.355492000002414,,
I.27.6,,0.9875953793525696,7.909433200024068,,
I.30.5,,0.9957218766212463,0.18949369993060827,,
I.43.16,,0.9918407201766968,0.969054099987261,,
I.47.23,,0.9924575686454773,0.3721763000357896,,
II.10.9,,0.9949244260787964,0.35430640005506575,,
II.11.17,,0.8251994252204895,9.905519799911417,,
II.15.4,,0.9899479746818542,1.1032818999374285,,
II.15.5,,0.9915650486946106,1.2197519999463111,,
II.2.42,,0.9755639433860779,20.381858400069177,,
II.27.16,,0.9882684946060181,7.62762569996994,,
II.27.18,,0.9914326071739197,0.6936206999234855,,
II.3.24,,-0.0027703046798706055,5.817483899998479,,
II.34.11,,0.9821385145187378,9.654826499987394,,
II.34.29b,,0.9709687232971191,8.165079799946398,,
II.38.14,,0.9938676357269287,0.8647806999506429,,
II.38.3,,0.9902766942977905,1.172655800008215,,
II.4.23,,-0.0006753206253051758,6.372235000017099,,
II.8.31,,0.9912062287330627,9.828803799930029,,
III.12.43,,0.9910552501678467,0.3520284000551328,,
III.15.27,,0.9916641116142273,0.3674633000046015,,
III.7.38,,0.9941999316215515,0.3604816000442952,,
