Function,R2 Score,R2 Score KAN,MLPKAN time,Conversion time,KAN training time,Symbolic time,Adam time
I.12.1,,0.9905927777290344,3.4047653999878094,,,,
I.12.4,,0.7635331749916077,5.589920600061305,,,,
I.12.5,,-0.0001583099365234375,0.6008002000162378,,,,
I.14.3,,0.9853046536445618,8.285240299999714,,,,
I.14.4,,0.9887685775756836,7.920295699965209,,,,
I.18.12,,0.6273118257522583,13.424141599913128,,,,
I.25.13,,0.99334317445755,1.1862687000539154,,,,
I.26.2,,0.9889596104621887,7.6533033000305295,,,,
I.27.6,,0.9904530644416809,4.386306600063108,,,,
I.30.5,,0.977379322052002,10.031057499931194,,,,
I.43.16,,0.9902922511100769,3.704684099997394,,,,
I.47.23,,0.9943251609802246,0.7140652000671253,,,,
II.10.9,,0.9928625226020813,1.803863300010562,,,,
II.11.17,,0.8214206099510193,10.779433600022458,,,,
II.15.4,,0.9141484498977661,10.169885100098327,,,,
II.15.5,,0.8971565365791321,8.571918200002983,,,,
II.2.42,,0.4870678782463074,8.477058899938129,,,,
II.27.16,,0.99131178855896,7.141166900051758,,,,
II.27.18,,0.9858028292655945,5.764772200025618,,,,
II.3.24,,0.990997850894928,1.4694143999367952,,,,
II.34.11,,0.6687906980514526,11.838416300015524,,,,
II.34.29b,,0.9848585724830627,18.20398759993259,,,,
II.38.14,,0.993653416633606,0.6842091999715194,,,,
II.38.3,,0.9914824366569519,1.4147701999172568,,,,
II.4.23,,0.9660691618919373,3.215870700078085,,,,
II.8.31,,0.8470005989074707,5.062675999943167,,,,
III.12.43,,0.9918766021728516,0.43798609997611493,,,,
III.15.27,,0.9915063381195068,0.5702488999813795,,,,
III.7.38,,0.9942516088485718,0.6994357000803575,,,,
