Function,R2 Score,R2 Score KAN,MLPKAN time,Conversion time,KAN training time,Symbolic time,Adam time
I.12.1,,0.9903902411460876,1.529968100017868,,,,
I.12.4,,-0.0024127960205078125,0.3749126000329852,,,,
I.12.5,,-0.0001577138900756836,1.5651714000850916,,,,
I.14.3,,0.9915569424629211,0.5754508000100031,,,,
I.14.4,,0.9923304319381714,0.6106662999372929,,,,
I.18.12,,-0.08376598358154297,5.474557000095956,,,,
I.25.13,,0.8636913895606995,2.1048985000234097,,,,
I.26.2,,0.9903120994567871,1.594739899970591,,,,
I.27.6,,0.9939124584197998,0.4260004999814555,,,,
I.30.5,,0.9794594049453735,2.667750300024636,,,,
I.43.16,,0.9926908016204834,0.6340994000202045,,,,
I.47.23,,0.9917853474617004,0.19522230001166463,,,,
II.10.9,,0.9937765002250671,0.1886365000391379,,,,
II.11.17,,0.8042368292808533,6.660736999940127,,,,
II.15.4,,0.9911285638809204,1.1342819000128657,,,,
II.15.5,,0.9902307391166687,1.7477618000702932,,,,
II.2.42,,0.2694510817527771,7.99074959999416,,,,
II.27.16,,0.9898160696029663,3.455535100074485,,,,
II.27.18,,0.991016685962677,1.3046769000357017,,,,
II.3.24,,0.9916695952415466,0.4764652999583632,,,,
II.34.11,,0.9505773782730103,3.4220546000869945,,,,
II.34.29b,,0.9822782874107361,3.7672983000520617,,,,
II.38.14,,0.9944643974304199,0.17929590004496276,,,,
II.38.3,,0.9904635548591614,0.8238803000422195,,,,
II.4.23,,0.9888866543769836,1.4869531999574974,,,,
II.8.31,,0.8130312561988831,2.3513366000261158,,,,
III.12.43,,0.9936714172363281,0.3030171000864357,,,,
III.15.27,,4.45246696472168e-05,2.737439400050789,,,,
III.7.38,,0.8866750001907349,3.4158225000137463,,,,
