Function,R2 Score,R2 Score KAN,MLPKAN time,Conversion time,KAN training time,Symbolic time,Adam time
I.12.1,,0.9904462099075317,10.888885799911804,,,,
I.12.4,,0.9891451001167297,25.731279899948277,,,,
I.12.5,,0.9900440573692322,16.957769499975257,,,,
I.14.3,,0.7077903747558594,25.97102709999308,,,,
I.14.4,,0.9900243878364563,6.824543399969116,,,,
I.18.12,,0.6897426843643188,26.039854499977082,,,,
I.25.13,,0.9905447363853455,4.436512800049968,,,,
I.26.2,,0.9908097386360168,8.403544800006784,,,,
I.27.6,,0.9901114106178284,11.406872799969278,,,,
I.30.5,,0.9904497861862183,8.71506259997841,,,,
I.43.16,,0.9904256463050842,23.367553200107068,,,,
I.47.23,,0.9901519417762756,7.2330871999729425,,,,
II.10.9,,0.9900282025337219,4.111471800017171,,,,
II.11.17,,0.8066916465759277,43.1564759000903,,,,
II.15.4,,0.9885861873626709,25.952984599978663,,,,
II.15.5,,0.00025457143783569336,25.779148099943995,,,,
II.2.42,,0.8347827196121216,37.14611009997316,,,,
II.27.16,,0.9903169274330139,11.081189700053073,,,,
II.27.18,,0.9907336235046387,6.39792200003285,,,,
II.3.24,,0.991918683052063,5.2219562999671325,,,,
II.34.11,,0.9903523921966553,15.22234069998376,,,,
II.34.29b,,0.9903884530067444,34.3041319999611,,,,
II.38.14,,0.8552366495132446,20.232637500041164,,,,
II.38.3,,0.9753976464271545,31.439096000045538,,,,
II.4.23,,0.9735155701637268,25.81421149999369,,,,
II.8.31,,0.9902006387710571,4.816096900030971,,,,
III.12.43,,0.9914021492004395,8.20558109995909,,,,
III.15.27,,0.9290914535522461,25.650010899989866,,,,
III.7.38,,0.9900782704353333,16.20610199996736,,,,
