Function,R2 Score,R2 Score KAN,MLPKAN time,Conversion time,KAN training time,Symbolic time,Adam time
I.12.1,,0.9909135103225708,5.250495000043884,,,,
I.12.4,,0.9496585726737976,12.450470700045116,,,,
I.12.5,,0.9906896948814392,5.584478500066325,,,,
I.14.3,,0.9901767373085022,7.262754899915308,,,,
I.14.4,,0.9900091886520386,10.471392299979925,,,,
I.18.12,,0.7005271315574646,12.56728399998974,,,,
I.25.13,,0.8628451824188232,10.82080899993889,,,,
I.26.2,,0.9902095794677734,10.291578700067475,,,,
I.27.6,,0.9905710220336914,3.6294300000881776,,,,
I.30.5,,0.9807745814323425,12.571738099912181,,,,
I.43.16,,0.9905398488044739,6.4242275999858975,,,,
I.47.23,,0.5811283588409424,12.571689000003971,,,,
II.10.9,,0.9901172518730164,2.910858199931681,,,,
II.11.17,,0.8217979073524475,17.700953599996865,,,,
II.15.4,,0.36577486991882324,12.601572799962014,,,,
II.15.5,,0.9896947741508484,12.522489299997687,,,,
II.2.42,,0.6619287729263306,16.056561100063846,,,,
II.27.16,,0.7882543206214905,12.647415500017814,,,,
II.27.18,,0.990176260471344,3.8949205999961123,,,,
II.3.24,,0.24762243032455444,10.862300800043158,,,,
II.34.11,,0.7103471755981445,14.199923999956809,,,,
II.34.29b,,0.4722246527671814,16.110137599986047,,,,
II.38.14,,0.9912723302841187,1.2062565999804065,,,,
II.38.3,,0.9903728365898132,10.422557199955918,,,,
II.4.23,,0.9408642649650574,12.634047399973497,,,,
II.8.31,,0.9904668927192688,2.8029373000608757,,,,
III.12.43,,0.4220641255378723,10.90296269999817,,,,
III.15.27,,0.6755281686782837,12.482938200002536,,,,
III.7.38,,0.9900849461555481,8.171334199956618,,,,
